timestamp,temp,pulse,stats
13300,36.95,81,96
13320,36.95,73,100
13340,37,77,98
13360,37,73,100
13380,37.1,73,100
13400,37.1,77,98
13420,37.1,73,100
13440,37.1,75,99
13460,37.15,77,98
13480,37.15,81,96
13500,37.15,73,100
13520,37.2,77,98
13540,37.25,81,96
13560,36.25,74,99
13580,37.25,79,97
13600,37.3,81,96
13620,36.4,72,100
13640,36.4,78,97
13660,36.5,78,97
13680,37.6,83,95
13700,36.6,76,98
13720,36.6,78,97
13740,36.6,76,98
13760,36.6,76,98
13780,36.65,76,98
13800,36.7,72,100
13820,36.75,76,98
13840,36.75,72,100
13860,36.8,76,98
13880,36.8,78,97
13900,36.85,82,95
13920,36.85,78,97
13940,36.9,76,98
13960,36.95,76,98
13980,36.95,72,100
14000,37,74,99
14020,37,78,97
14040,37,78,97
14060,37,74,99
14080,37.1,80,96
14100,37.15,72,100
14120,36.2,77,97
14140,37.2,82,95
14160,36.4,79,96
14180,37.45,78,97
14200,37.6,76,98
14220,36.65,77,97
14240,36.7,75,98
14260,36.75,81,95
14280,36.75,71,100
14300,36.8,77,97
14320,36.85,71,100
14340,36.85,75,98
14360,36.85,77,97
14380,36.85,75,98
14400,36.85,75,98
14420,36.9,73,99
14440,36.9,77,97
14460,36.95,81,95
14480,36.95,71,100
14500,37,75,98
14520,37,83,94
14540,37,71,100
14560,38.25,74,99
14580,37.3,79,96
14600,36.3,74,98
14620,36.3,78,96
14640,36.4,70,100
14660,36.45,76,97
14680,36.6,70,100
14700,36.6,74,98
14720,36.65,76,97
14740,36.65,70,100
14760,36.7,78,96
14780,36.7,76,97
14800,37.75,75,98
14820,36.8,76,97
14840,36.8,74,98
14860,36.85,74,98
14880,36.85,70,100
14900,36.85,72,99
14920,36.9,74,98
14940,36.9,76,97
14960,37,74,98
14980,37,74,98
15000,36.1,69,100
15020,37.1,70,100
15040,37.1,72,99
15060,37.15,80,95
15080,37.15,74,98
15100,36.25,75,97
15120,37.25,80,95
15140,36.35,75,97
15160,36.35,69,100
15180,36.45,71,99
15200,36.45,71,99
15220,36.5,71,99
15240,36.6,69,100
15260,36.75,69,100
15280,36.75,71,99
15300,36.75,75,97
15320,36.75,73,98
15340,36.75,75,97
15360,36.8,73,98
15380,36.8,75,97
15400,36.9,71,99
15420,36.9,75,97
15440,36.95,75,97
15460,37.95,78,96
15480,36.95,73,98
15500,37,71,99
15520,37,73,98
15540,37,73,98
15560,37,73,98
15580,37,73,98
15600,37.1,77,96
15620,37.1,77,96
15640,37.1,77,96
15660,37.15,73,98
15680,37.2,69,100
15700,36.4,70,99
15720,37.4,79,95
15740,36.5,70,99
15760,37.5,73,98
15780,36.65,72,98
15800,36.65,72,98
15820,36.7,76,96
15840,36.7,68,100
15860,36.7,74,97
15880,36.75,68,100
15900,36.8,70,99
